State,Domestic UOCAVA Voters Ballot Receipt,Deadline for Overseas Ballot Postmark,Priority Group,Transmission Methods,Return Methods,Recommended Mail Date,Ballot Postmark Deadline,UOCAVA Voters Ballot Receipt,Ballot Receipt Deadline
Alabama,7 calendar days after Election Day,Election Day,LOW,"Post, Electronic","Post, Electronic",10/22/2024,11/5/2024,7 calendar days after Election Day,11/12/2024
Alaska,10 calendar days after Election Day,Election Day,LOW,"Post, Electronic","Post, Electronic",10/30/2024,11/5/2024,15 calendar days after Election Day,11/20/2024
American Samoa,Election Day,Election Day,LOW,"Post, Electronic",Post,10/15/2024,11/5/2024,Election Day,11/5/2024
Arizona,Election Day,Not required,HIGH,"Post, Electronic","Post, Electronic",10/15/2024,N/A,Election Day,11/5/2024
Arkansas,10 business days after Election Day,Election Day,LOW,"Post, Electronic",Post,10/29/2024,11/5/2024,10 business days after Election Day,11/19/2024
California,7 calendar days after Election Day,Election Day,LOW,"Post, Electronic","Post, Electronic",10/22/2024,11/5/2024,7 calendar days after Election Day,11/12/2024
Colorado,8 calendar days after Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/23/2024,N/A,8 calendar days after Election Day,11/13/2024
Connecticut,Election Day,Election Day,LOW,"Post, Electronic",Post,10/15/2024,11/5/2024,Election Day,11/5/2024
Delaware,Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/15/2024,N/A,Election Day,11/5/2024
District of Columbia,7 business days after Election Day,Election Day,LOW,"Post, Electronic","Post, Electronic",10/24/2024,11/5/2024,7 business days after Election Day,11/14/2024
Florida,Election Day,Election Day,LOW,"Post, Electronic","Post, Electronic",10/25/2024,11/5/2024,10 calendar days after Election Day,11/15/2024
Georgia,3 business days after Election Day,Election Day,HIGH,"Post, Electronic",Post,10/18/2024,11/5/2024,3 business days after Election Day,11/8/2024
Guam,10 business days after Election Day,Election Day,LOW,"Post, Electronic",Post,10/29/2024,11/5/2024,10 business days after Election Day,11/19/2024
Hawaii,Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/15/2024,N/A,Election Day,11/5/2024
Idaho,Election Day,Not required,LOW,"Post, Electronic",Post,10/15/2024,N/A,Election Day,11/5/2024
Illinois,14 calendar days after Election Day,Election Day,LOW,"Post, Electronic",Post,10/29/2024,11/5/2024,14 calendar days after Election Day,11/19/2024
Indiana,10 calendar days after Election Day,Election Day,LOW,"Post, Electronic","Post, Electronic",10/25/2024,11/5/2024,10 calendar days after Election Day,11/15/2024
Iowa,6 calendar days after Election Day,1 day before Election Day,LOW,"Post, Electronic",Post,10/21/2024,11/4/2024,6 calendar days after Election Day,11/11/2024
Kansas,Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/15/2024,N/A,Election Day,11/5/2024
Kentucky,Election Day,Election Day,LOW,"Post, Electronic",Post,10/15/2024,11/5/2024,Election Day,11/5/2024
Louisiana,Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/15/2024,N/A,Election Day,11/5/2024
Maine,Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/15/2024,N/A,Election Day,11/5/2024
Maryland,10 calendar days after Election Day,Election Day,LOW,"Post, Electronic",Post,10/25/2024,11/5/2024,10 calendar days after Election Day,11/15/2024
Massachusetts,3 calendar days after Election Day,Election Day,LOW,"Post, Electronic","Post, Electronic",10/25/2024,11/5/2024,10 calendar days after Election Day,11/15/2024
Michigan,Election Day,Not required,HIGH,"Post, Electronic",Post,10/15/2024,N/A,Election Day,11/5/2024
Minnesota,Election Day,Not required,LOW,"Post, Electronic",Post,10/15/2024,N/A,Election Day,11/5/2024
Mississippi,5 business days after Election Day,Election Day,LOW,"Post, Electronic","Post, Electronic",10/22/2024,11/5/2024,5 business days after Election Day,11/12/2024
Missouri,3 calendar days after Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/18/2024,N/A,3 business days after Election Day,11/8/2024
Montana,Election Day,Not required,HIGH,"Post, Electronic","Post, Electronic",10/15/2024,N/A,Election Day,11/5/2024
Nebraska,Election Day,Not required,HIGH,"Post, Electronic","Post, Electronic",10/15/2024,N/A,Election Day,11/5/2024
Nevada,4 calendar days after Election Day,Election Day,HIGH,"Post, Electronic","Post, Electronic",10/19/2024,11/5/2024,4 calendar days after Election Day,11/9/2024
New Hampshire,Election Day,Not required,HIGH,"Post, Electronic",Post,10/15/2024,N/A,Election Day,11/5/2024
New Jersey,Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/15/2024,N/A,Election Day,11/5/2024
New Mexico,Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/15/2024,N/A,Election Day,11/5/2024
New York,13 calendar days after Election Day,Election Day,LOW,"Post, Electronic",Post,10/28/2024,11/5/2024,13 calendar days after Election Day,11/18/2024
North Carolina,9 calendar days after Election Day,Not required,HIGH,"Post, Electronic","Post, Electronic",10/24/2024,N/A,9 calendar days after Election Day,11/14/2024
North Dakota,13 calendar days after Election Day,1 day before Election Day,LOW,"Post, Electronic","Post, Electronic",10/28/2024,11/4/2024,13 calendar days after Election Day,11/18/2024
Northern Mariana Islands,Election Day,Election Day,LOW,Post,Post,10/15/2024,11/5/2024,Election Day,11/5/2024
Ohio,10 calendar days after Election Day,Election Day,HIGH,"Post, Electronic",Post,10/25/2024,11/5/2024,10 calendar days after Election Day,11/15/2024
